+-------------------------------------------------------------------------+---------------------------------------------------------------------------+------+----+------+
|                                   Text                                  |                                Translation                                | From | To | key  |
|                              cupón de bono                              |                                coupon bond                                |  es  | en | 1415 |
|                       balance abreviado del grupo                       |                         abbreviated balance group                         |  es  | en | 1416 |
|                          colocación a comisión                          |                            placement commission                           |  es  | en | 1417 |
|                              centralizacion                             |                               centralization                              |  es  | en | 1418 |
|                       sustitución de importaciones                      |                            import substitution                            |  es  | en | 1419 |
|                        renta vitalicia combinada                        |                              combined annuity                             |  es  | en | 1420 |
|                             opción asiática                             |                                Asian option                               |  es  | en | 1421 |
|                           partición accionaria                          |                                stock split                                |  es  | en | 1422 |
|                                  débito                                 |                                   debit                                   |  es  | en | 1423 |
|                        retorno sobre la inversión                       |                            return on investment                           |  es  | en | 1424 |
|                                depresión                                |                                 depression                                |  es  | en | 1425 |
|                             commodity físico                            |                             physical commodity                            |  es  | en | 1426 |
|                                 bajista                                 |                                  bassist                                  |  es  | en | 1427 |
|                  tasa de interés para fondos federales                  |                      interest rate for federal funds                      |  es  | en | 1428 |
|                                solidaria                                |                                 solidarity                                |  es  | en | 1429 |
|                             bienes de cambio                            |                                inventories                                |  es  | en | 1430 |
|                       certificado de depósito (cd)                      |                        certificate of deposit (cd)                        |  es  | en | 1431 |
|                              bienes de uso                              |                                   assets                                  |  es  | en | 1432 |
|                             cheque rechazado                            |                               bounced check                               |  es  | en | 1433 |
|                              norma iso-9000                             |                             iso-9000 standard                             |  es  | en | 1434 |
|                           déficit o superávit                           |                             deficit or surplus                            |  es  | en | 1435 |
|                                tesoreria                                |                                  treasury                                 |  es  | en | 1436 |
|                      operador de la punta contraria                     |                           opposite end operator                           |  es  | en | 1437 |
|                               pierna larga                              |                                  long leg                                 |  es  | en | 1438 |
|                             valor económico                             |                               economic value                              |  es  | en | 1439 |
|                                  moneda                                 |                                  currency                                 |  es  | en | 1440 |
|                    títulos respaldados por hipotecas                    |                         mortgage-backed securities                        |  es  | en | 1441 |
|                           valor de liquidación                          |                             liquidation value                             |  es  | en | 1442 |
|                           instrumento derivado                          |                                 derivative                                |  es  | en | 1443 |
|                             bono garantizado                            |                                covered bond                               |  es  | en | 1444 |
|               acciones preferidas de dividendo acumulativo              |                    cumulative dividend preferred shares                   |  es  | en | 1445 |
|                          precio de negociación                          |                               trading price                               |  es  | en | 1446 |
|                               beneficiario                              |                                beneficiary                                |  es  | en | 1447 |
|                              ganancia bruta                             |                                gross profit                               |  es  | en | 1448 |
|                           ingresos personales                           |                              personal income                              |  es  | en | 1449 |
|                            vender en subasta                            |                             selling at auction                            |  es  | en | 1450 |
|                        rehabilitación del fallido                       |                          discharge in bankruptcy                          |  es  | en | 1451 |
|                            pérdida previstas                            |                               expected loss                               |  es  | en | 1452 |
|                                 cartera                                 |                                 portfolio                                 |  es  | en | 1453 |
|                        título valor no cotizante                        |                       contributor title value is not                      |  es  | en | 1454 |
|                     acciones de muy alto crecimiento                    |                          very high growth stocks                          |  es  | en | 1455 |
|                                estructura                               |                                 structure                                 |  es  | en | 1456 |
|                         calificación de acciones                        |                               shares rating                               |  es  | en | 1457 |
|                       alquiler con opción a compra                      |                                rent to own                                |  es  | en | 1458 |
|                      límite de posiciones abiertas                      |                            Limit open positions                           |  es  | en | 1459 |
|                                 bono par                                |                                  par bond                                 |  es  | en | 1460 |
|                             ventas en bloque                            |                                block sales                                |  es  | en | 1461 |
|                           operación a crédito                           |                              credit operation                             |  es  | en | 1462 |
|                             mercado nacional                            |                              domestic market                              |  es  | en | 1463 |
|                       comenzar a cotizar en bolsa                       |                             begin to go public                            |  es  | en | 1464 |
|                           situación económica                           |                             economic situation                            |  es  | en | 1465 |
|                             emisión de bonos                            |                                 bond issue                                |  es  | en | 1466 |
|                           futuros financieros                           |                             financial futures                             |  es  | en | 1467 |
|                               presupuesto                               |                                   budget                                  |  es  | en | 1468 |
|                  acreedor garantizado por una cau ción                  |                       creditor secured by a cau tion                      |  es  | en | 1469 |
|                        operaciones en el exterior                       |                            overseas operations                            |  es  | en | 1470 |
|                          interés sobre 360 días                         |                             360 days interest                             |  es  | en | 1471 |
|                                reversión                                |                                 reversion                                 |  es  | en | 1472 |
|                            precio de recompra                           |                              repurchase price                             |  es  | en | 1473 |
|                 acuerdo general de aranceles y comercio                 |                   general agreement of tariffs and trade                  |  es  | en | 1474 |
|                            fondo de inversión                           |                                    fund                                   |  es  | en | 1475 |
|                                  rebaja                                 |                                 reduction                                 |  es  | en | 1476 |
|                             vuelco favorable                            |                               favorable turn                              |  es  | en | 1477 |
|                            gastos acumulados                            |                              accrued expenses                             |  es  | en | 1478 |
|                              fondo cerrado                              |                               closed bottom                               |  es  | en | 1479 |
|                       criterio del mayor esfuerzo                       |                        criterion of greater effort                        |  es  | en | 1480 |
|                              bolsa regional                             |                               regional stock                              |  es  | en | 1481 |
|                            bono de cupón cero                           |                              zero coupon bond                             |  es  | en | 1482 |
|                                sin fondos                               |                                  unfunded                                 |  es  | en | 1483 |
|                   sobrerreacción (del tipo de cambio)                   |                      overreaction (the exchange rate)                     |  es  | en | 1484 |
|                              crear mercado                              |                               create market                               |  es  | en | 1485 |
|                  bono con categoría de investment grade                 |                           bond investment grade                           |  es  | en | 1486 |
|                          certificación de firma                         |                          signature certification                          |  es  | en | 1487 |
|                             tipos de interés                            |                               interest rates                              |  es  | en | 1488 |
|                          requisitos de capital                          |                            capital requirements                           |  es  | en | 1489 |
|                            derecho de rescate                           |                            right of redemption                            |  es  | en | 1490 |
|                               libro mayor                               |                                   ledger                                  |  es  | en | 1491 |
|                             acto de comercio                            |                               commercial act                              |  es  | en | 1492 |
|                           recompra de acciones                          |                                 repurchase                                |  es  | en | 1493 |
|                        organismo descentralizado                        |                                   agency                                  |  es  | en | 1494 |
|                                deflacion                                |                                 deflation                                 |  es  | en | 1495 |
|                     dividendo de acciones preferidas                    |                          preferred stock dividend                         |  es  | en | 1496 |
|                     lista de papeles más negociados                     |                           negotiated roles list                           |  es  | en | 1497 |
|                              deuda pública                              |                               national debt                               |  es  | en | 1498 |
|                                 residuo                                 |                                  residue                                  |  es  | en | 1499 |
|                             pago de la deuda                            |                                    debt                                   |  es  | en | 1500 |
|                                 entrega                                 |                                  delivery                                 |  es  | en | 1501 |
|                             línea de crédito                            |                                credit line                                |  es  | en | 1502 |
|                               turbulencia                               |                                 turbulence                                |  es  | en | 1503 |
|                 privilegio de compra en una suscripción                 |                    privilege to purchase a subscription                   |  es  | en | 1504 |
|                                 exportar                                |                                   export                                  |  es  | en | 1505 |
|                            sociedad colectiva                           |                                partnership                                |  es  | en | 1506 |
|                               licenciante                               |                                  licensor                                 |  es  | en | 1507 |
|                               contabilidad                              |                                 accounting                                |  es  | en | 1508 |
|                                posiciones                               |                                 positions                                 |  es  | en | 1509 |
|                      ganancias después de impuestos                     |                              profit after tax                             |  es  | en | 1510 |
|                        contabilidad gubernamental                       |                           government accounting                           |  es  | en | 1511 |
|                          deuda en obligaciones                          |                              debt obligations                             |  es  | en | 1512 |
|                                dicotomía                                |                                 dichotomy                                 |  es  | en | 1513 |
|                           punto de referencia                           |                                 benchmark                                 |  es  | en | 1514 |
|                    pago contra presentación del cupón                   |                  upon presentation of the coupon payment                  |  es  | en | 1515 |
|                            acciones liberadas                           |                                bonus shares                               |  es  | en | 1516 |
|                            creador de mercado                           |                                market maker                               |  es  | en | 1517 |
|                       sin derechos de suscripción                       |                        without subscription rights                        |  es  | en | 1518 |
|               sistema acelerado de recuperación de costos               |                      system accelerated cost recovery                     |  es  | en | 1519 |
|                            agentes economicos                           |                              economic agents                              |  es  | en | 1520 |
|                           conversión de bonos                           |                              bond conversion                              |  es  | en | 1521 |
|                           custodia de valores                           |                                  custody                                  |  es  | en | 1522 |
|                                 alquiler                                |                                   rental                                  |  es  | en | 1523 |
|                     título de deuda de interés fijo                     |                           title fixed rate debt                           |  es  | en | 1524 |
|                                 varianza                                |                                  variance                                 |  es  | en | 1525 |
|                            activo subyacente                            |                              underlying asset                             |  es  | en | 1526 |
|                                 abrogar                                 |                                  abrogate                                 |  es  | en | 1527 |
|                             acrecentamiento                             |                                 accretion                                 |  es  | en | 1528 |
|                                 perdedor                                |                                   loser                                   |  es  | en | 1529 |
|                    orden originada fuera del recinto                    |                     order placed outside the enclosure                    |  es  | en | 1530 |
|                                trabajador                               |                                  employee                                 |  es  | en | 1531 |
|                               especulador                               |                                 speculator                                |  es  | en | 1532 |
|                           promediar a la baja                           |                               averaging down                              |  es  | en | 1533 |
|                 títulos valores respaldados por activos                 |                          asset-backed securities                          |  es  | en | 1534 |
|                              tasa flotante                              |                               floating rate                               |  es  | en | 1535 |
|                                  texto                                  |                                    text                                   |  es  | en | 1536 |
|                              estacionalidad                             |                                seasonality                                |  es  | en | 1537 |
|                      operación con divisas a plazo                      |                         currency forward operation                        |  es  | en | 1538 |
|                   equivalentes de acciones ordinarias                   |                          common stock equivalents                         |  es  | en | 1539 |
|                          seguimiento del ticker                         |                              ticker tracking                              |  es  | en | 1540 |
|                            inflar los precios                           |                               inflate prices                              |  es  | en | 1541 |
|                                 locación                                |                                  location                                 |  es  | en | 1542 |
|                           dividendo de capital                          |                              capital dividend                             |  es  | en | 1543 |
|                          saldo deudor ajustado                          |                           Adjusted debit balance                          |  es  | en | 1544 |
|                           agregados económicos                          |                            economic aggregates                            |  es  | en | 1545 |
|                              comité auditor                             |                              audit committee                              |  es  | en | 1546 |
|                                reaseguro                                |                                reinsurance                                |  es  | en | 1547 |
|                                 objetivo                                |                                   target                                  |  es  | en | 1548 |
|                          liquidación al contado                         |                              cash settlement                              |  es  | en | 1549 |
|                           capitalización total                          |                            total capitalization                           |  es  | en | 1550 |
|                          rentabilidad operativa                         |                          operating profitability                          |  es  | en | 1551 |
|                            cargas financieras                           |                             financial burdens                             |  es  | en | 1552 |
|                           venta de una pierna                           |                               sale of a leg                               |  es  | en | 1553 |
|                         puesto del especialista                         |                            Specialist position                            |  es  | en | 1554 |
|                                 apertura                                |                                  opening                                  |  es  | en | 1555 |
|                           cierre de ejercicio                           |                                  year end                                 |  es  | en | 1556 |
|                              cartera modelo                             |                              model portfolio                              |  es  | en | 1557 |
|                           arbitraje de cambio                           |                            exchange arbitration                           |  es  | en | 1558 |
|                            flujo de ganancias                           |                               revenue stream                              |  es  | en | 1559 |
|                           compañía apalancada                           |                             leveraged company                             |  es  | en | 1560 |
|                          relación deuda-capital                         |                             debt-equity ratio                             |  es  | en | 1561 |
|                        comisión del intermediario                       |                               brokerage fee                               |  es  | en | 1562 |
|                             sociedad anónima                            |                                corporation                                |  es  | en | 1563 |
|                     rendimiento hasta su vencimiento                    |                             yield to maturity                             |  es  | en | 1564 |
|                         reconocimiento de deuda                         |                                    IOU                                    |  es  | en | 1565 |
|                           cupo de exportación                           |                                export quota                               |  es  | en | 1566 |
|                             letra de cambio                             |                              bill of exchange                             |  es  | en | 1567 |
|                            superar una oferta                           |                                beat a deal                                |  es  | en | 1568 |
|                          precio de liquidación                          |                              settlement price                             |  es  | en | 1569 |
|                            banco hipotecario                            |                               mortgage bank                               |  es  | en | 1570 |
| rupia  (moneda de india maldivas mauricio nepal seychelles y sri lanka) | rupee (Indian currency nepal mauritius seychelles maldives and sri lanka) |  es  | en | 1571 |
|                               sobre la par                              |                                 on the par                                |  es  | en | 1572 |
|                             curva de laffer                             |                                Laffer curve                               |  es  | en | 1573 |
|                       banco de la reserva federal                       |                            Federal Reserve Bank                           |  es  | en | 1574 |
|                             tasa de retorno                             |                                return rate                                |  es  | en | 1575 |
|                             pagos atrasados                             |                                  arrears                                  |  es  | en | 1576 |
|                    cargo adicional por lotes impares                    |                       additional charge for odd lots                      |  es  | en | 1577 |
|                     cinta de reporte de operaciones                     |                         transaction reporting tape                        |  es  | en | 1578 |
|                         casa de bolsa minorista                         |                              retail brokerage                             |  es  | en | 1579 |
|                        antes de deducir impuestos                       |                                before taxes                               |  es  | en | 1580 |
|                          información económica                          |                            economic information                           |  es  | en | 1581 |
|              ajuste del precio de ejercicio por dividendos              |                  exercise price adjustment for dividends                  |  es  | en | 1582 |
|                              crédito blando                             |                                 soft loan                                 |  es  | en | 1583 |
|                            dividendo a cuenta                           |                                  dividend                                 |  es  | en | 1584 |
|                    cartera sensible a un solo factor                    |                     portfolio sensitive to one factor                     |  es  | en | 1585 |
|                            cuentas por pagar                            |                              accounts payable                             |  es  | en | 1586 |
|             hecho revelador del estado de cesación de pagos             |                     This underlines the default state                     |  es  | en | 1587 |
|                      orden limitada con precio tope                     |                         limit order with price cap                        |  es  | en | 1588 |
|                               coberturista                              |                                   hedger                                  |  es  | en | 1589 |
|                                  aladi                                  |                                   aladi                                   |  es  | en | 1590 |
|                            compañías hermanas                           |                              sister companies                             |  es  | en | 1591 |
|                       anualidad de pago inmediato                       |                         immediate payment annuity                         |  es  | en | 1592 |
|                           compañía extranjera                           |                              foreign company                              |  es  | en | 1593 |
|                     estados financieros consolidados                    |                     consolidated financial statements                     |  es  | en | 1594 |
|                                nuevo sol                                |                                  new sun                                  |  es  | en | 1595 |
|                               bono activo                               |                                active bonus                               |  es  | en | 1596 |
|                           mercado de opciones                           |                               options market                              |  es  | en | 1597 |
|                            cuenta de ahorros                            |                              savings account                              |  es  | en | 1598 |
|                           títulos hipotecarios                          |                            mortgage securities                            |  es  | en | 1599 |
|                       modelo con crecimiento nulo                       |                           model with zero growth                          |  es  | en | 1600 |
|                             florín holandés                             |                               Dutch guilder                               |  es  | en | 1601 |
|                                  dirham                                 |                                   dirham                                  |  es  | en | 1602 |
|                               prueba acida                              |                                 acid test                                 |  es  | en | 1603 |
|                        descuento por reinversión                        |                           reinvestment discount                           |  es  | en | 1604 |
|                             monopolio legal                             |                               legal monopoly                              |  es  | en | 1605 |
|                          análisis cuantitativo                          |                           quantitative analysis                           |  es  | en | 1606 |
|                              concentracion                              |                               concentration                               |  es  | en | 1607 |
|                              precio límite                              |                                limit price                                |  es  | en | 1608 |
|                                 fodward                                 |                                  fodward                                  |  es  | en | 1609 |
|                            volumen negociado                            |                               trading volume                              |  es  | en | 1610 |
|                     transacción al contado inmediato                    |                         immediate cash transaction                        |  es  | en | 1611 |
|                                  rupia                                  |                                   rupee                                   |  es  | en | 1612 |
|                           principios contables                          |                           accounting principles                           |  es  | en | 1613 |
|                                  papel                                  |                                   paper                                   |  es  | en | 1614 |
|            préstamo garantizado por hipoteca de segundo grado           |                      loan secured by second mortgage                      |  es  | en | 1615 |
|                              administración                             |                               administration                              |  es  | en | 1616 |
|                            dividendo diferido                           |                             deferred dividend                             |  es  | en | 1617 |
|                           líder de la emisión                           |                               issuing leader                              |  es  | en | 1618 |
|                             precio de cierre                            |                               closing price                               |  es  | en | 1619 |
|                       acciones del sector energía                       |                            energy sector stocks                           |  es  | en | 1620 |
|                         valor tiempo del dinero                         |                            time value of money                            |  es  | en | 1621 |
|                compañía que recién inicia sus operaciones               |                    company recently started operations                    |  es  | en | 1622 |
|                             fecha de cierre                             |                                closing date                               |  es  | en | 1623 |
|                                  libra                                  |                                   pound                                   |  es  | en | 1624 |
|                          capital neto requerido                         |                            required net capital                           |  es  | en | 1625 |
|                       orden de ejecución inmediata                      |                         immediate execution order                         |  es  | en | 1626 |
|                           pequeños inversores                           |                              small investors                              |  es  | en | 1627 |
|                                 depósito                                |                                  deposit                                  |  es  | en | 1628 |
|                          bajar de calificación                          |                                lose rating                                |  es  | en | 1629 |
|                            pérdida de capital                           |                                capital loss                               |  es  | en | 1630 |
|                           burbuja especulativa                          |                             speculative bubble                            |  es  | en | 1631 |
|                                 fallido                                 |                                   failed                                  |  es  | en | 1632 |
|                            club de inversores                           |                               investors club                              |  es  | en | 1633 |
|                            margen disponible                            |                              margin available                             |  es  | en | 1634 |
|                           guerra teoría de la                           |                                 theory war                                |  es  | en | 1635 |
|                      operaciones de mercado abierto                     |                           open market operations                          |  es  | en | 1636 |
|                          dividendo en efectivo                          |                               cash dividend                               |  es  | en | 1637 |
|                     fondo de inversión internacional                    |                       international investment fund                       |  es  | en | 1638 |
|                            déficit comercial                            |                               trade deficit                               |  es  | en | 1639 |
|                            ajuste al mercado                            |                             market adjustment                             |  es  | en | 1640 |
|                                proposito                                |                                  purpose                                  |  es  | en | 1641 |
|                             patrón monetario                            |                             monetary standard                             |  es  | en | 1642 |
|                           anualidad vitalicia                           |                                  annuity                                  |  es  | en | 1643 |
|                            almacenes fiscales                           |                             bonded warehouses                             |  es  | en | 1644 |
|                               sobrevendido                              |                                  Oversold                                 |  es  | en | 1645 |
|                        letra de cambio a la vista                       |                         bill of exchange at sight                         |  es  | en | 1646 |
|                              a corto plazo                              |                                 short-term                                |  es  | en | 1647 |
|                                patrón oro                               |                               gold standard                               |  es  | en | 1648 |
|                    contabilidad a costo de reposición                   |                        replacement cost accounting                        |  es  | en | 1649 |
|                          recuperación económica                         |                             economic recovery                             |  es  | en | 1650 |
|                            picos ascendentes                            |                              ascending peaks                              |  es  | en | 1651 |
|                               contingencia                              |                                contingency                                |  es  | en | 1652 |
|                         tasa de interés variable                        |                           variable interest rate                          |  es  | en | 1653 |
|                       acuerdo de recompra abierto                       |                                 open repo                                 |  es  | en | 1654 |
|                               liquidación                               |                                liquidation                                |  es  | en | 1655 |
|                            frontera eficiente                           |                             efficient frontier                            |  es  | en | 1656 |
|                                 entorno                                 |                                environment                                |  es  | en | 1657 |
|                              tercer mercado                             |                                third market                               |  es  | en | 1658 |
|                              cartera óptima                             |                             optimal portfolio                             |  es  | en | 1659 |
|                                 cesantía                                |                                unemployment                               |  es  | en | 1660 |
|                             rescate de bonos                            |                              bond redemption                              |  es  | en | 1661 |
|                            cheque incobrable                            |                                 bad check                                 |  es  | en | 1662 |
|                  teoría de la valoración del arbitraje                  |                      appraisal theory of arbitration                      |  es  | en | 1663 |
|                               rendimiento                               |                                performance                                |  es  | en | 1664 |
|                            costos operativos                            |                              operating costs                              |  es  | en | 1665 |
|                         ganancias no devengadas                         |                              unearned income                              |  es  | en | 1666 |
|                          adquisición de defensa                         |                            defense acquisition                            |  es  | en | 1667 |
|                              multiplicador                              |                                 multiplier                                |  es  | en | 1668 |
|                                finiquito                                |                                 settlement                                |  es  | en | 1669 |
|                            gastos de cobranza                           |                            collection expenses                            |  es  | en | 1670 |
|                          cuenta con sobremargen                         |                               has Overrange                               |  es  | en | 1671 |
|                           ejercicio económico                           |                                fiscal year                                |  es  | en | 1672 |
|                       retorno superior al mercado                       |                            above-market return                            |  es  | en | 1673 |
|                           precio de equilibrio                          |                             equilibrium price                             |  es  | en | 1674 |
|                                proexport                                |                                 proexport                                 |  es  | en | 1675 |
|                               venta corta                               |                                 Short Sale                                |  es  | en | 1676 |
|                   obligación negociable a corto plazo                   |                         short-term corporate bond                         |  es  | en | 1677 |
